Rank	Surname	n_i
47011	AMANATIDIS	7
50693	AMASEDER	6
21882	AMBLER	27
32510	AMBRA	14
31247	AMBRO	15
3969	AMBROS	209
41300	AMBROSEK	9
47012	AMBR”ä	7
4239	AMBROZ	197
31248	AMBR”Z	15
7203	AMBROZEK	116
50694	AMBROZI	6
55204	AMBROZY	5
614	AMBROé	1052
55205	AMBROéY	5
18529	AMBRUS	35
29047	AMBRUä	17
16955	AMBRUZ	40
12165	AMBRŸZ	63
47013	AMBRUZS	7
18530	AMBRŸéEK	35
26324	AMENT	20
31249	AMERLING	15
12814	AMCHA	59
50695	AMIRI	6
50696	AMIRIDIS	6
8733	AMLER	94
15648	AMMER	45
41301	AMMERLING	9
18204	AMORT	36
20925	AMPAPA	29
23580	AMRICH	24
41302	AMRUZ	9
55206	ANALAJ	5
47014	AN»I»KA	7
32511	AN»ÕK	14
10047	AN»INEC	80
50697	ANDA	6
19667	ANDEL	32
518	ANDÃL	1228
24194	ANDELT	23
12815	ANDER	59
50698	ANDERA	6
13162	ANDÃRA	57
29048	ANDERKA	17
47015	ANDERL	7
22412	ANDERLA	26
1725	ANDERLE	441
47016	ANDERLÕK	7
55207	ANDEROVSK›	5
6843	ANDERS	123
18205	ANDERT	36
39035	ANDIEL	10
50699	ANDIL	6
47017	ANDL	7
31250	ANDLA	15
50700	ANDLT	6
43955	ANDO	8
55208	AND”	5
43956	ANDOK	8
47018	ANDONIADIS	7
33877	ANDONOV	13
30111	AND÷RFER	16
47019	ANDORKO	7
7554	ANDR	110
35422	ANDRAS	12
24195	ANDR¡S	23
24196	ANDRASCHKO	23
47020	ANDR¡SI	7
43957	ANDR¡SSY	8
16683	ANDR¡ä	41
33878	ANDRAä»ÕK	13
14782	ANDR¡äEK	49
35423	ANDRAäI	12
50701	ANDRAäÕ	6
21393	ANDR¡äI	28
50702	ANDRAäIK	6
43958	ANDRAäÕK	8
16410	ANDR¡äIK	42
17248	ANDRAäKO	39
19262	ANDR¡äKO	33
43959	ANDRAäOVSK›	8
14550	ANDR…	50
55209	ANDRE¡NSKY	5
11468	ANDREAS	68
47021	ANDRE¡ä	7
55210	ANDREATTA	5
29049	ANDREE	17
31251	ANDREEV	15
55211	ANDREIS	5
26325	ANDREJ	20
31252	ANDREJCO	15
33879	ANDREJ»¡K	13
55212	ANDREJ»ÕK	5
41303	ANDREJEV	9
30112	ANDREJCH	16
20926	ANDREJKO	29
28036	ANDREJKOVI»	18
32512	ANDREJOVSK›	14
9063	ANDREJS	90
16684	ANDREJSEK	41
55213	ANDREJäÕ	5
24197	ANDREOVSK›	23
2715	ANDRES	296
15010	ANDR…S	48
41304	ANDRESEK	9
55214	ANDR…SEK	5
55215	ANDRESI»	5
23581	ANDRESÕK	24
31253	ANDRESKA	15
31254	ANDREäI»	15
50703	ANDRIESEI	6
55216	ANDRIK	5
19668	ANDRIS	32
47022	ANDRIS¡K	7
43960	ANDRISEK	8
10820	ANDRLA	73
547	ANDRLE	1153
55217	ANDRLÕ»EK	5
1566	ANDRLÕK	476
41305	ANDRONIKIDIS	9
55218	ANDROVICS	5
39036	ANDROVI»	10
26326	ANDRS	20
1963	ANDRä	394
32513	ANDRäT	14
9156	ANDRT	89
43961	ANDRUCHOVI»	8
50704	ANDRUS	6
55219	ANDRUSI”W	5
31255	ANDRUSIV	15
55220	ANDRUSZKIW	5
50705	ANDRUä»¡K	6
24885	ANDRUäÕK	22
41306	ANDRUäKA	9
50706	ANDRYKA	6
7367	ANDRYS	113
7901	ANDR›S	105
35424	ANDRYSEK	12
1057	ANDR›SEK	672
11084	ANDRYSÕK	71
55221	ANDR›ZEK	5
32514	ANDRé	14
55222	ANDZIOL	5
37095	ANELT	11
43962	ANETTA	8
55223	ANFILOV	5
31256	ANFT	15
23582	ANGELIS	24
55224	ANGELKOV	5
18206	ANGELOV	36
27181	ANGELOVI»	19
8889	ANGER	92
37096	ANGERMAYER	11
47023	ANGETTER	7
37097	ANGR	11
55225	ANGURIDIS	5
29050	ANGYAL	17
43963	ANICHOBER	8
41307	ANICHOBR	9
28037	ANIOL	18
47024	ANIS	7
39037	ANJEL	10
14112	ANLAUF	52
55226	ANNAMICHL	5
50707	ANOV»IN	6
33880	ANOV»ÕN	13
55227	ANSELM	5
55228	ANSELMI	5
35425	ANSCHLAG	12
43964	ANSL	8
11085	ANSORGE	71
50708	ANäL¡G	6
4851	ANTAL	171
50709	ANT¡L	6
9157	ANTALA	89
47025	ANTALEC	7
19669	ANT¡LEK	32
22413	ANTALÕK	26
50710	ANTECK›	6
47026	ANTEK	7
20927	ANTEL	29
50711	ANTENE	6
24198	ANT…NE	23
11616	ANTES	67
35426	ANTFEIST	12
29051	ANTH	17
2028	ANTL	382
18531	ANTOCH	35
24199	ANTOL	23
35427	ANTOL¡K	12
47027	ANTOLI»	7
43965	ANTOLIK	8
33881	ANTOLÕK	13
55229	ANTOLJAK	5
3837	ANTON	215
11231	ANTO“	70
41308	ANTO“¡K	9
25607	ANTON»ÕK	21
15649	ANTONI	45
35428	ANTONIAZI	12
18207	ANTONICK›	36
16144	ANTONÕ»EK	43
3190	ANTONÕN	257
55230	ANTONISZYN	5
24886	ANTONOV	22
19263	ANTONOVI»	33
18848	ANTONŸ	34
13163	ANTO“Ÿ	57
8200	ANTONY	101
39038	ANTOSZYK	10
383	ANTOä	1582
50712	ANTOäEK	6
13322	ANTOäÕK	56
55231	ANTOäKO	5
28038	ANTOäOVSK›	18
55232	ANTOUäEK	5
55233	ANTOéY	5
12980	ANTROPIUS	58
16685	ANTUä	41
55234	ANTUä¡K	5
15890	ANTUäEK	44
50713	ANTŸäEK	6
19670	ANYALAI	32
4668	AN›é	177
39039	APA»	10
55235	APALOVI»	5
47028	APELT	7
10712	APELTAUER	74
35429	APETAUER	12
50714	APETICK›	6
41309	APFELBECK	9
47029	APFELBEK	7
16145	APFELTHALER	43
41310	APJAR	9
33882	APJ¡R	13
31257	APKO	15
23583	APL	24
20928	APLT	29
14331	APLTAUER	51
37098	APOLEN	11
14113	APOLEN¡ÿ	52
50715	APOLENÕK	6
17249	APOLÕN	39
20929	APOäTOL	29
13323	APPEL	56
9442	APPELT	86
33883	APPELTAUER	13
7624	APPL	109
43966	APPLT	8
47030	APRIAS	7
47031	APRUZZESE	7
37099	APT	11
55236	ARABADZIS	5
55237	ARABADéIEV	5
25608	ARABASZ	21
50716	ARAB¡ä	6
50717	ARAB»UK	6
55238	ARANYOSI	5
43967	ARAPIDIS	8
39040	AR¡TOR	10
55239	ARAVÕK	5
9825	ARAZIM	82
55240	ARAZÕM	5
25609	ARBAN	21
17846	ARBEIT	37
39041	ARBEITER	10
39042	ARBELOVSK›	10
41311	ARBES	9
35430	ARBET	12
27182	ARBTER	19
50718	ARDAMICA	6
43968	ARDEL¡N	8
33884	ARDELT	13
50719	ARDELY	6
47032	ARD”	7
31258	ARDOLF	15
47033	ARDON	7
55241	AREL›	5
28039	ARENBERGER	18
21394	AREND¡ä	28
55242	ARENSTEIN	5
55243	ARENäTEIN	5
47034	ARESIN	7
19264	ARGAL¡ä	33
43969	ARGAN	8
50720	ARGAY	6
50721	ARGIROPULOS	6
50722	ARGIROVSK›	6
55244	ARGMAN	5
50723	ARGMANN	6
20479	ARCHALOUS	30
15891	ARCHLEB	44
10821	ARCHMAN	73
24200	ARCHMANN	23
15650	ARIENT	45
25610	ARLET	21
24887	ARLETH	22
10255	ARLT	78
24888	ARMLICH	22
22414	ARMSTARK	26
55245	ARNAUDOV	5
55246	ARNAUTOVSK›	5
39043	ARNDT	10
41312	ARNER	9
15892	ARNET	44
32515	ARNICAN	14
4022	ARNOLD	207
17250	ARNOLT	39
24889	ARNOä	22
2889	ARNOäT	281
39044	ARNOT	10
31259	ARNSTEIN	15
4816	ARON	172
39045	¡RON	10
47035	¡RPA	7
20930	ARP¡ä	29
41313	ARSENJEV	9
55247	ARSLANIAN	5
24890	ARTIM	22
27183	ARTL	19
43970	ARTNER	8
41314	¡RVA	9
24891	ARVAI	22
50724	¡RVAI	6
39046	ARVAJ	10
27184	ARVAY	19
43971	¡RVAY	8
41315	ARVENSIS	9
55248	ARZBERGER	5
39047	ARZT	10
47036	ASENOV	7
41316	ASCHENBRENER	9
5611	ASCHENBRENNER	149
24201	ASCHER	23
29052	ASCHERL	17
35431	ASCHERMANN	12
33885	ASMAN	13
43972	ASMUS	8
22415	ASNÕK	26
29053	ASSMANN	17
43973	ASSZONYI	8
12472	ASTALOä	61
15204	ASTER	47
27185	ASTL	19
21395	ASTR	28
31260	ASZTALOS	15
50725	ASZTALOä	6
23584	AäENBRENER	24
29054	AäENBRENNER	17
28040	AäENBRYL	18
20077	AäER	31
23585	AäKA	24
47037	ATANAS»EV	7
50726	ATANASIADIS	6
17251	ATANASOV	39
43974	ATASSI	8
29055	ATEXINGER	17
55249	ATIE	5
50727	ATTASEK	6
55250	ATTEL	5
55251	ATTENDORN	5
19671	ATTL	32
55252	ATZLER	5
1520	AUBRECHT	488
18208	AUBUS	36
43975	AUBUSTA	8
14551	AUDA	50
26327	AUDES	20
22416	AUDRLICK›	26
5533	AUDY	151
55253	AUD›	5
43976	AUE	8
5236	AUER	159
43977	AUERBACH	8
55254	AUERM‹LLER	5
17529	AUERSVALD	38
30113	AUERSWALD	16
26328	AUERVEK	20
23010	AUF	25
31261	AUFART	15
50728	AUFFAHRT	6
50729	AUFRECHT	6
37100	AUGSBERGER	11
37101	AUGST	11
13526	AUGSTEN	55
32516	AUGUST	14
2495	AUGUSTA	322
1173	AUGUSTIN	613
10375	AUGUSTÕN	77
39048	AUGUSTI“¡K	10
55255	AUGUSTINI	5
50730	AUGUSTINSK›	6
33886	AUGUSTOVI»	13
16956	AUGUST›N	40
33887	AUGUSTYNEK	13
24202	AUGUST›NEK	23
32517	AUINGER	14
10589	AUJESK›	75
27186	AUJEZDECK›	19
10476	AUJEZDSK›	76
27187	AUL	19
18209	AULEHLA	36
55256	AULEHLE	5
5572	AULICK›	150
24892	AULICH	22
17530	AULÕK	38
39049	AUNICK›	10
23586	AUR	24
15651	AUÿEDNÕK	45
30114	AUSBERGER	16
55257	AUSBUHER	5
50731	AUSFICER	6
18849	AUSFICÕR	34
30115	AUSK›	16
37102	AUSPERGER	11
55258	AUSSENBERG	5
5928	AUST	142
43978	AUSTERA	8
32518	AUäPRUNK	14
13164	AUTERSK›	57
11086	AUTRATA	71
35432	AUXT	12
30116	AUZK›	16
39050	AVRAM»EV	10
32519	AVRAMIDIS	14
41317	AVRAMOV	9
20480	AVRAT	30
55259	AVUK	5
21883	AXAMIT	27
35433	AXAMSK›	12
32520	AXLER	14
7104	AXMAN	118
4523	AXMANN	184
50732	AYRER	6
33888	AéALTOVI»	13
39051	BAADER	10
55260	BA¡N	5
4817	BAAR	172
50733	BABA	6
18532	B¡BA	35
50734	BABA»A	6
4692	BAB¡»EK	176
55261	BABAIAN	5
2228	BAB¡K	353
55262	B¡BAN	5
21396	BAB¡NEK	28
39052	BABARÕK	10
47038	BAB¡ä	7
27188	BABCZYNSKI	19
39053	BABCZY—SKI	10
20931	BAB»¡K	29
18850	BAB»AN	34
39054	BAB»ANÕK	10
23011	BAB»ICK›	25
15011	BABEC	48
55263	BABE»KA	5
16411	BABEJ	42
6731	B¡BEK	125
43979	BABEL	8
23012	B¡BEL	25
43980	B¡BELA	8
50735	BABÃRAD	6
43981	BABÃR¡D	8
23013	BABIAK	25
31262	BABI¡K	15
21397	BABI¡NEK	28
32521	BABIAR	14
41318	BABIAR»ÕK	9
8484	BABIC	97
3577	BABICA	230
2190	BABICK›	360
29056	BABICZ	17
6619	BABI»	127
17847	BABÕ»EK	37
5573	B¡BÕ»EK	150
7308	BABI»KA	114
39055	BABIJ	10
11344	BABÕK	69
33889	B¡BIK	13
6405	B¡BÕK	131
12473	BABILON	61
41319	BABIN	9
39056	BABIN»¡K	10
3147	BABINEC	260
28041	BABÕNEK	18
47039	BABINSKI	7
9826	BABINSK›	82
29057	BABIR¡D	17
19265	BABISZ	33
6232	BABIä	135
31263	BABIäTA	15
37103	BABIUCH	11
20932	BABJAK	29
19266	BABJ¡K	33
47040	BABJAR	7
1085	BABKA	651
47041	BABNI»	7
39057	BABOCK›	10
3317	BABOR	248
17848	B¡BOR	37
5353	BABOR¡K	156
15652	BABOROVSK›	45
18851	BABORSK›	34
25611	B¡BORSK›	21
13165	BABOU»EK	57
15893	BABOV¡K	44
47042	BABOVEC	7
55264	BABOVI»	5
29058	B¡BOVKA	17
31264	B¡BOVSK›	15
41320	BABRAL	9
47043	BABRN¡K	7
37104	BABR“¡K	11
50736	BABäICK›	6
33890	BABUKA	13
23014	BABULA	25
47044	BABUL¡K	7
30117	BABULIAK	16
14332	BABULÕK	51
50737	BABULJAK	6
23015	BABUNÃK	25
23587	B¡BUNÃK	24
7555	BABŸREK	110
47045	BABUä	7
41321	BABUä¡K	9
39058	BABUäEK	10
10946	BABUäÕK	72
18533	BABUäKA	35
55265	BABUTZK›	5
31265	BABYKA	15
21884	BABYR¡D	27
55266	BABYäTA	5
39059	BAC	10
55267	BACA	5
31266	B¡CA	15
7765	BACÕK	107
30118	BACIL	16
9937	BACÕLEK	81
21398	BACK	28
55268	BƒCK	5
13166	BACKA	57
55269	BACK¡R	5
55270	BACKERT	5
31267	BACKO	15
55271	BACKSTUBER	5
27189	BACO	19
18210	BACOVSK›	36
39060	BACS”	10
41322	BACUL	9
28042	BACUL¡K	18
35434	BACULÕK	12
50738	BAC⁄R	6
35435	BACZKE	12
1174	BA»A	613
2084	B¡»A	375
3497	BA»¡K	235
11232	BA»E	70
47046	B¡»E	7
23588	BA»EK	24
41323	B¡»EK	9
47047	BA»EVSK›	7
55272	BA»GO“	5
35436	BA»IK	12
1953	BA»ÕK	395
5314	BA»INA	157
15653	BA»INSK›	45
50739	BA»K¡DY	6
20933	BA»KORA	29
4452	BA»KOVSK›	187
5237	BA»O	159
37105	BA»OV»IN	11
55273	BA»OVIC	5
4453	BA»OVSK›	187
23589	BA»UV»ÕK	24
18211	BA»ŸVKA	36
12474	BADA	61
33891	BADA»	13
30119	BADAJ	16
6517	BADAL	129
18212	B¡DAL	36
50740	BADALA	6
17849	BADALEC	37
55274	BAD¡LEK	5
17531	BADALÕK	38
47048	BADA“	7
41324	BAD¡“	9
39061	BADEA	10
39062	BADEJ	10
55275	BADER	5
47049	B¡DER	7
41325	BADERLE	9
5270	BADI	158
33892	BADI»	13
43982	BADIDA	8
25612	BADÕK	21
6406	BADIN	131
14552	BADINKA	50
39063	BADINSK›	10
55276	BADLÕK	5
18534	BADO	35
24203	BADOäEK	23
28043	BAœOU»EK	18
50741	BADOVSK›	6
21885	B¡DR	27
4441	BADURA	188
1190	BAœURA	606
33893	BAœUÿÕK	13
12301	BADY	62
47050	BADZO	7
21886	BADéGO“	27
6899	BADéO	122
35437	BAER	12
6676	BAGAR	126
22417	BAG¡R	26
55277	BAGARA	5
55278	BAG¡RI	5
41326	BAGI	9
33894	BAGIER	13
21887	BAGIN	27
50742	BAGÕN	6
32522	BAGINSK›	14
33895	BAGO	13
43983	BAGOGA	8
43984	BAHELKA	8
5788	BAHENSK›	145
26329	BAHLEDA	20
28044	BAHNER	18
29059	BAHNÕ»EK	17
3382	BAHNÕK	244
32523	BAHNO	14
43985	BAHNOVSK›	8
8654	BAHOUNEK	95
12981	BAHR	58
50743	BƒHR	6
8122	BAHULA	102
22418	BAHULÕK	26
55279	BAHYL	5
5466	BACH	153
5354	BACHAN	156
23590	BACH¡NEK	24
47051	BACHAR	7
43986	BACH¡R	8
35438	BACHEL	12
31268	BACHER	15
47052	BACHIWSKI	7
30120	BACHLEDA	16
47053	BACHMAIER	7
12020	BACHMAN	64
9251	BACHMANN	88
55280	BACHMAYER	5
50744	BACHNA	6
47054	BACH“¡K	7
47055	BACHNER	7
32524	BACHO	14
43987	BACHOFNER	8
22419	BACHOR	26
13907	B¡CHOR	53
27190	BACHOREC	19
41327	BACHOREK	9
55281	B¡CHOREK	5
24204	BACHORÕK	23
29060	BACHOÿÕK	17
37106	BACHOVSK›	11
37107	BACHR	11
47056	BACHRACH	7
15894	BACHRAT›	44
12166	BACHRO“	63
5738	BACHTÕK	146
9361	BACHURA	87
50745	BACHUREK	6
18535	BACHŸREK	35
55282	BAIBL	5
43988	BAI»EV	8
2300	BAIER	344
17532	BAIERL	38
39064	BAIERLE	10
39065	BAIERLING	10
32525	BAIGAR	14
18213	BAIGER	36
47057	BAIGL	7
22420	BAIL	26
20934	BAINAR	29
50746	BAITAR	6
50747	BAITL	6
29061	BAITLER	17
33896	BAIZA	13
15012	BAJAJA	48
47058	BAJAK	7
9064	BAJ¡K	90
28045	BAJAN	18
50748	BAJ¡NEK	6
31269	BAJANÕK	15
21399	BAJAR	28
10256	BAJCAR	78
43989	BAJC¡R	8
37108	BAJCSI	11
47059	BAJCSY	7
22421	BAJCURA	26
43990	BAJ»I	8
25613	BAJ»ÕK	21
37109	BAJDA	11
50749	BAJD¡K	6
468	BAJER	1325
43991	BAJERKA	8
47060	BAJERLE	7
2094	BAJGAR	373
30121	BAJGART	16
3664	BAJGER	225
9827	BAJGL	82
41328	BAJKAI	9
47061	BAJKANI»	7
55283	BAJKINI»	5
11087	BAJKO	71
12302	BAJNAR	62
55284	BAJN¡R	5
50750	BAJN¡REK	6
50751	BAJNER	6
25614	BAJNOK	21
37110	BAJO	11
39066	BAJOR	10
47062	BAJOREK	7
50752	BAJS	6
50753	BAJSA	6
20078	BAJT	31
55285	BAJTALA	5
28046	BAJTALON	18
5534	BAJTEK	151
28047	BAJTL	18
28048	BAJTLER	18
35439	BAJTOä	12
24205	BAJUS	23
27191	BAJUSZ	19
50754	BAJUäEV	6
4481	BAJZA	186
47063	BAJZ¡K	7
39067	BAJZIK	10
12641	BAJZÕK	60
10713	BAK	74
13724	BAKA	54
28049	BAKAJ	18
25615	BAKAJSA	21
9065	BAKALA	90
23591	BAKAL¡R	24
9362	BAKAL¡ÿ	87
10158	BAKALÕK	79
33897	BAKAN	13
50755	BAK¡NYI	6
39068	BAKAR¡»	10
55286	BAKAY	5
2623	BAKEä	306
30122	BAKI»	16
37111	BAKLA	11
8981	BAKLÕK	91
8049	BAKO	103
55287	BAKON»ÕK	5
20481	BAKOS	30
8576	BAKOä	96
12642	BAKOTA	60
16412	BAKOVSK›	42
19672	BAKRLÕK	32
20482	BAKSA	30
26330	BAKäA	20
50756	BAKäTEIN	6
18852	BAKULA	34
50757	BAKUL¡R	6
8655	BAKULE	95
47064	BAKURA	7
18853	BAKUS	34
55288	BAKY	5
8340	BALA	99
3588	BALAB¡N	229
50758	BALABUCH	6
30123	BALA»	16
15205	BAL¡»	47
11345	BAL¡»EK	69
2961	BALADA	275
50759	BALAœA	6
27192	BALADR¡N	19
50760	BALAGA	6
50761	BALACH	6
17850	BALAJ	37
31270	BALAJA	15
6271	BALAJKA	134
1596	BAL¡K	470
50762	BALAKOVSKI	6
30124	BALALA	16
50763	BALAMUCK›	6
8201	BAL¡N	101
47065	BALANDA	7
